time,latitude,longitude,height_msl
2025-09-05 16:46:08.800,39.194699477,-77.257694052,158.4017
2025-09-05 16:46:08.900,39.194699502,-77.257694020,158.4004
2025-09-05 16:46:09.000,39.194699442,-77.257693943,158.4084
2025-09-05 16:46:09.100,39.194699466,-77.257693922,158.4121
2025-09-05 16:46:09.200,39.194699516,-77.257693908,158.4128
2025-09-05 16:46:09.300,39.194699493,-77.257693862,158.4197
2025-09-05 16:46:09.400,39.194699532,-77.257693842,158.4217
2025-09-05 16:46:09.500,39.194699551,-77.257693781,158.4173
2025-09-05 16:46:09.600,39.194699533,-77.257693831,158.4277
2025-09-05 16:46:09.700,39.194699515,-77.257693827,158.4416
2025-09-05 16:46:09.800,39.194699557,-77.257693727,158.4250
2025-09-05 16:46:09.900,39.194699570,-77.257693660,158.4376
2025-09-05 16:46:10.000,39.194699583,-77.257693603,158.4371
2025-09-05 16:46:10.100,39.194699565,-77.257693558,158.4356
2025-09-05 16:46:10.200,39.194699607,-77.257693504,158.4359
2025-09-05 16:46:10.300,39.194699624,-77.257693508,158.4347
2025-09-05 16:46:10.400,39.194699568,-77.257693457,158.4331
2025-09-05 16:46:10.500,39.194699586,-77.257693404,158.4406
2025-09-05 16:46:10.600,39.194699616,-77.257693349,158.4456
2025-09-05 16:46:10.700,39.194699558,-77.257693323,158.4384
2025-09-05 16:46:10.800,39.194699572,-77.257693429,158.4333
2025-09-05 16:46:10.900,39.194699635,-77.257693426,158.4343
2025-09-05 16:46:11.000,39.194699711,-77.257693427,158.4435
2025-09-05 16:46:11.100,39.194699810,-77.257693400,158.4657
2025-09-05 16:46:11.200,39.194699863,-77.257693336,158.4744
2025-09-05 16:46:11.300,39.194699891,-77.257693350,158.4761
2025-09-05 16:46:11.400,39.194699937,-77.257693327,158.4809
2025-09-05 16:46:11.500,39.194699998,-77.257693317,158.4857
2025-09-05 16:46:11.600,39.194700077,-77.257693298,158.4924
2025-09-05 16:46:11.700,39.194700164,-77.257693289,158.4994
2025-09-05 16:46:11.800,39.194700205,-77.257693268,158.4914
2025-09-05 16:46:11.900,39.194700311,-77.257693251,158.4901
2025-09-05 16:46:12.000,39.194700426,-77.257693232,158.5137
2025-09-05 16:46:12.100,39.194700372,-77.257693189,158.5064
2025-09-05 16:46:12.200,39.194700392,-77.257693141,158.5065
2025-09-05 16:46:12.300,39.194700432,-77.257693134,158.5134
2025-09-05 16:46:12.400,39.194700446,-77.257693119,158.5090
2025-09-05 16:46:12.500,39.194700466,-77.257693089,158.5103
2025-09-05 16:46:12.600,39.194700506,-77.257693093,158.5134
2025-09-05 16:46:12.700,39.194700566,-77.257693065,158.5240
2025-09-05 16:46:12.800,39.194700612,-77.257693058,158.5207
2025-09-05 16:46:12.900,39.194700694,-77.257693038,158.5229
2025-09-05 16:46:13.000,39.194700745,-77.257693040,158.5264
2025-09-05 16:46:13.100,39.194700788,-77.257693036,158.5303
2025-09-05 16:46:13.200,39.194700798,-77.257693010,158.5240
2025-09-05 16:46:13.300,39.194700882,-77.257693008,158.5229
2025-09-05 16:46:13.400,39.194700911,-77.257692990,158.5139
2025-09-05 16:46:13.500,39.194700986,-77.257692940,158.5352
2025-09-05 16:46:13.600,39.194701059,-77.257692964,158.5267
2025-09-05 16:46:13.700,39.194701041,-77.257692977,158.5191
2025-09-05 16:46:13.800,39.194701098,-77.257692947,158.5289
2025-09-05 16:46:13.900,39.194701185,-77.257692960,158.5262
2025-09-05 16:46:14.000,39.194701208,-77.257692930,158.5289
2025-09-05 16:46:14.150,39.194701281,-77.257692933,158.5094
2025-09-05 16:46:14.250,39.194701276,-77.257692943,158.5079
2025-09-05 16:46:14.350,39.194701337,-77.257692921,158.5144
2025-09-05 16:46:14.450,39.194701343,-77.257692907,158.4923
2025-09-05 16:46:14.550,39.194701337,-77.257692984,158.4482
2025-09-05 16:46:14.650,39.194701206,-77.257692853,158.4475
2025-09-05 16:46:14.750,39.194701329,-77.257692978,158.4460
2025-09-05 16:46:14.850,39.194701479,-77.257692999,158.4208
2025-09-05 16:46:14.950,39.194701499,-77.257692961,158.4263
2025-09-05 16:46:15.050,39.194701440,-77.257693004,158.4179
2025-09-05 16:46:15.150,39.194701501,-77.257692975,158.4213
2025-09-05 16:46:15.250,39.194701496,-77.257692979,158.4106
2025-09-05 16:46:15.350,39.194701494,-77.257692962,158.4104
2025-09-05 16:46:15.450,39.194701419,-77.257692857,158.4016
