time,latitude,longitude,height_msl
2025-09-10 18:23:14.800,39.195054554,-77.257322042,150.0478
2025-09-10 18:23:14.900,39.195054559,-77.257322024,150.0484
2025-09-10 18:23:15.000,39.195054526,-77.257322009,150.0562
2025-09-10 18:23:15.100,39.195054512,-77.257321971,150.0582
2025-09-10 18:23:15.200,39.195054504,-77.257321986,150.0645
2025-09-10 18:23:15.300,39.195054473,-77.257321939,150.0653
2025-09-10 18:23:15.400,39.195054452,-77.257321943,150.0708
2025-09-10 18:23:15.600,39.195054451,-77.257321892,150.0790
2025-09-10 18:23:15.700,39.195054430,-77.257321902,150.0800
2025-09-10 18:23:15.800,39.195054427,-77.257321901,150.0876
2025-09-10 18:23:15.900,39.195054417,-77.257321864,150.0849
2025-09-10 18:23:16.000,39.195054402,-77.257321870,150.0960
2025-09-10 18:23:16.100,39.195054390,-77.257321867,150.0898
2025-09-10 18:23:16.200,39.195054383,-77.257321834,150.0930
2025-09-10 18:23:16.300,39.195054359,-77.257321855,150.0993
2025-09-10 18:23:16.400,39.195054337,-77.257321809,150.1027
2025-09-10 18:23:16.500,39.195054351,-77.257321809,150.1015
2025-09-10 18:23:16.600,39.195054287,-77.257321785,150.1094
2025-09-10 18:23:16.700,39.195054293,-77.257321779,150.1103
2025-09-10 18:23:16.800,39.195054313,-77.257321760,150.1140
2025-09-10 18:23:16.900,39.195054286,-77.257321772,150.1250
2025-09-10 18:23:17.000,39.195054276,-77.257321748,150.1230
2025-09-10 18:23:17.100,39.195054246,-77.257321761,150.1285
2025-09-10 18:23:17.200,39.195054238,-77.257321738,150.1295
2025-09-10 18:23:17.300,39.195054217,-77.257321710,150.1304
2025-09-10 18:23:17.400,39.195054205,-77.257321713,150.1372
2025-09-10 18:23:17.500,39.195054200,-77.257321710,150.1414
2025-09-10 18:23:17.600,39.195054225,-77.257321713,150.1439
2025-09-10 18:23:17.700,39.195054179,-77.257321697,150.1512
2025-09-10 18:23:17.800,39.195054168,-77.257321725,150.1493
2025-09-10 18:23:18.000,39.195054161,-77.257321697,150.1573
2025-09-10 18:23:18.300,39.195054134,-77.257321719,150.1593
2025-09-10 18:23:18.400,39.195053996,-77.257321816,150.1701
2025-09-10 18:23:18.600,39.195054028,-77.257321675,150.1632
2025-09-10 18:23:18.700,39.195053831,-77.257321632,150.1515
2025-09-10 18:23:18.800,39.195053725,-77.257321672,150.1572
2025-09-10 18:23:18.900,39.195053858,-77.257321662,150.1495
2025-09-10 18:23:19.000,39.195053995,-77.257321896,150.1490
2025-09-10 18:23:19.100,39.195054180,-77.257321977,150.1509
2025-09-10 18:23:19.200,39.195054453,-77.257321942,150.1734
2025-09-10 18:23:19.400,39.195054433,-77.257321584,150.2012
2025-09-10 18:23:19.500,39.195054656,-77.257321277,150.2348
2025-09-10 18:23:19.600,39.195054636,-77.257320787,150.2320
2025-09-10 18:23:19.700,39.195054731,-77.257320347,150.2337
2025-09-10 18:23:19.800,39.195054982,-77.257320041,150.2467
2025-09-10 18:23:19.900,39.195055074,-77.257319832,150.2454
