time,latitude,longitude,height_msl
2025-09-05 16:41:11.200,39.194683316,-77.257566265,154.5052
2025-09-05 16:41:11.300,39.194683497,-77.257566154,154.5053
2025-09-05 16:41:11.400,39.194683470,-77.257566094,154.5066
2025-09-05 16:41:11.500,39.194683447,-77.257566162,154.5104
2025-09-05 16:41:11.600,39.194683418,-77.257566108,154.5089
2025-09-05 16:41:11.700,39.194683446,-77.257566082,154.5108
2025-09-05 16:41:11.800,39.194683519,-77.257566157,154.5223
2025-09-05 16:41:11.900,39.194683537,-77.257566159,154.5231
2025-09-05 16:41:12.000,39.194683508,-77.257566174,154.5234
2025-09-05 16:41:12.150,39.194683512,-77.257566179,154.5340
2025-09-05 16:41:12.250,39.194683479,-77.257566218,154.5413
2025-09-05 16:41:12.350,39.194683513,-77.257566224,154.5415
2025-09-05 16:41:12.450,39.194683575,-77.257566233,154.5441
2025-09-05 16:41:12.550,39.194683589,-77.257566269,154.5508
2025-09-05 16:41:12.650,39.194683583,-77.257566281,154.5537
2025-09-05 16:41:12.750,39.194683573,-77.257566286,154.5440
2025-09-05 16:41:12.850,39.194683651,-77.257566299,154.5586
2025-09-05 16:41:12.950,39.194683597,-77.257566298,154.5568
2025-09-05 16:41:13.050,39.194683617,-77.257566237,154.5422
2025-09-05 16:41:13.150,39.194683563,-77.257566146,154.5300
2025-09-05 16:41:13.250,39.194683589,-77.257566069,154.5320
2025-09-05 16:41:13.350,39.194683565,-77.257566068,154.5242
2025-09-05 16:41:13.450,39.194683538,-77.257566035,154.5225
2025-09-05 16:41:13.550,39.194683537,-77.257566017,154.5080
2025-09-05 16:41:13.650,39.194683609,-77.257566020,154.5165
2025-09-05 16:41:13.750,39.194683673,-77.257566077,154.5231
2025-09-05 16:41:13.850,39.194683700,-77.257566102,154.5187
2025-09-05 16:41:13.950,39.194683728,-77.257566178,154.5172
2025-09-05 16:41:14.050,39.194683712,-77.257566232,154.5175
2025-09-05 16:41:14.150,39.194683840,-77.257566292,154.5235
2025-09-05 16:41:14.250,39.194683867,-77.257566331,154.5379
2025-09-05 16:41:14.350,39.194683747,-77.257566372,154.5349
2025-09-05 16:41:14.450,39.194683921,-77.257566489,154.5633
2025-09-05 16:41:14.550,39.194683906,-77.257566469,154.5519
2025-09-05 16:41:14.650,39.194683811,-77.257566432,154.5423
2025-09-05 16:41:14.750,39.194683736,-77.257566192,154.5390
2025-09-05 16:41:14.850,39.194683736,-77.257566273,154.5329
2025-09-05 16:41:14.950,39.194683523,-77.257566157,154.5214
2025-09-05 16:41:15.050,39.194683519,-77.257566103,154.5307
2025-09-05 16:41:15.150,39.194683604,-77.257566163,154.5345
2025-09-05 16:41:15.250,39.194683606,-77.257566092,154.5286
2025-09-05 16:41:15.350,39.194683605,-77.257566035,154.5421
2025-09-05 16:41:15.450,39.194683629,-77.257566057,154.5397
2025-09-05 16:41:15.550,39.194683724,-77.257566080,154.5401
2025-09-05 16:41:15.650,39.194683763,-77.257566138,154.5482
2025-09-05 16:41:15.750,39.194683793,-77.257566144,154.5463
2025-09-05 16:41:15.850,39.194683790,-77.257566157,154.5465
2025-09-05 16:41:15.950,39.194683854,-77.257566227,154.5531
2025-09-05 16:41:16.050,39.194683914,-77.257566233,154.5567
2025-09-05 16:41:16.150,39.194683988,-77.257566212,154.5695
2025-09-05 16:41:16.250,39.194684032,-77.257566216,154.5801
2025-09-05 16:41:16.350,39.194684040,-77.257566218,154.5790
2025-09-05 16:41:16.450,39.194684082,-77.257566203,154.5971
2025-09-05 16:41:16.550,39.194684023,-77.257566135,154.5918
2025-09-05 16:41:16.650,39.194684012,-77.257566150,154.5867
2025-09-05 16:41:16.750,39.194684100,-77.257566111,154.6050
2025-09-05 16:41:16.850,39.194684022,-77.257566086,154.6042
2025-09-05 16:41:16.950,39.194683987,-77.257566067,154.6042
2025-09-05 16:41:17.050,39.194683982,-77.257566058,154.6045
2025-09-05 16:41:17.150,39.194683947,-77.257566059,154.6071
2025-09-05 16:41:17.250,39.194683902,-77.257566043,154.6108
2025-09-05 16:41:17.350,39.194683868,-77.257565992,154.6101
2025-09-05 16:41:17.450,39.194683859,-77.257565975,154.6121
2025-09-05 16:41:17.550,39.194683823,-77.257565982,154.6123
2025-09-05 16:41:17.650,39.194683767,-77.257565972,154.6074
2025-09-05 16:41:17.750,39.194683749,-77.257565979,154.6112
2025-09-05 16:41:17.850,39.194683715,-77.257565957,154.6051
2025-09-05 16:41:17.950,39.194683653,-77.257565908,154.6006
2025-09-05 16:41:18.050,39.194683639,-77.257565886,154.6029
2025-09-05 16:41:18.150,39.194683615,-77.257565885,154.6070
2025-09-05 16:41:18.250,39.194683523,-77.257565844,154.6008
2025-09-05 16:41:18.350,39.194683487,-77.257565841,154.6063
2025-09-05 16:41:18.450,39.194683446,-77.257565784,154.6051
2025-09-05 16:41:18.550,39.194683403,-77.257565772,154.6070
2025-09-05 16:41:18.650,39.194683320,-77.257565756,154.6051
2025-09-05 16:41:18.750,39.194683245,-77.257565733,154.5940
2025-09-05 16:41:18.850,39.194683207,-77.257565690,154.6013
2025-09-05 16:41:18.950,39.194683159,-77.257565652,154.6007
