time,latitude,longitude,height_msl
2025-09-17 17:03:14.400,39.195239689,-77.257535462,166.1330
2025-09-17 17:03:14.500,39.195239830,-77.257535350,166.1034
2025-09-17 17:03:14.600,39.195240049,-77.257535250,166.0541
2025-09-17 17:03:14.700,39.195240257,-77.257535108,166.0077
2025-09-17 17:03:14.800,39.195240351,-77.257534971,165.9903
2025-09-17 17:03:14.900,39.195240486,-77.257534886,165.9638
2025-09-17 17:03:15.000,39.195240688,-77.257534784,165.9240
2025-09-17 17:03:15.100,39.195240754,-77.257534694,165.9061
2025-09-17 17:03:15.200,39.195241011,-77.257534548,165.8600
2025-09-17 17:03:15.300,39.195241202,-77.257534413,165.8173
2025-09-17 17:03:15.400,39.195241360,-77.257534245,165.7770
2025-09-17 17:03:15.500,39.195241472,-77.257534254,165.7598
2025-09-17 17:03:15.600,39.195241698,-77.257534077,165.7140
2025-09-17 17:03:15.900,39.195242154,-77.257533792,165.6122
2025-09-17 17:03:16.000,39.195242191,-77.257533766,165.6104
2025-09-17 17:03:16.100,39.195242290,-77.257533605,165.5898
2025-09-17 17:03:16.200,39.195242502,-77.257533515,165.5419
2025-09-17 17:03:16.300,39.195242637,-77.257533403,165.5156
2025-09-17 17:03:16.400,39.195242640,-77.257533230,165.5039
2025-09-17 17:03:16.500,39.195242648,-77.257533288,165.5282
2025-09-17 17:03:16.600,39.195242803,-77.257533262,165.4932
2025-09-17 17:03:16.700,39.195242905,-77.257533172,165.4741
2025-09-17 17:03:16.800,39.195242985,-77.257533108,165.4689
2025-09-17 17:03:16.900,39.195243093,-77.257533047,165.4443
2025-09-17 17:03:17.000,39.195243164,-77.257532965,165.4339
2025-09-17 17:03:17.100,39.195243431,-77.257532980,165.3965
2025-09-17 17:03:17.200,39.195243603,-77.257532940,165.3472
2025-09-17 17:03:17.400,39.195243864,-77.257532831,165.3099
2025-09-17 17:03:17.500,39.195244057,-77.257532863,165.2630
2025-09-17 17:03:17.600,39.195244077,-77.257532840,165.2549
2025-09-17 17:03:17.700,39.195244123,-77.257532752,165.2491
2025-09-17 17:03:17.800,39.195244296,-77.257532715,165.2087
2025-09-17 17:03:17.900,39.195244363,-77.257532715,165.2078
2025-09-17 17:03:18.000,39.195244247,-77.257532785,165.2415
2025-09-17 17:03:18.100,39.195244499,-77.257532835,165.1907
2025-09-17 17:03:18.200,39.195244681,-77.257532952,165.1882
2025-09-17 17:03:18.300,39.195244940,-77.257532950,165.1177
2025-09-17 17:03:18.400,39.195244908,-77.257532698,165.1267
2025-09-17 17:03:18.500,39.195244913,-77.257532642,165.1161
2025-09-17 17:03:18.600,39.195244908,-77.257532717,165.0688
2025-09-17 17:03:18.700,39.195245055,-77.257532698,165.0275
2025-09-17 17:03:18.800,39.195245251,-77.257532545,165.0137
2025-09-17 17:03:18.900,39.195245196,-77.257532637,165.0181
2025-09-17 17:03:19.000,39.195245305,-77.257532922,165.0170
2025-09-17 17:03:19.100,39.195245121,-77.257533893,165.1381
2025-09-17 17:03:19.200,39.195244922,-77.257533685,165.1209
2025-09-17 17:03:19.300,39.195245201,-77.257533634,165.0877
2025-09-17 17:03:19.400,39.195245536,-77.257533514,165.0508
2025-09-17 17:03:19.500,39.195245675,-77.257533431,165.0087
2025-09-17 17:03:19.600,39.195245898,-77.257533216,165.0115
2025-09-17 17:03:19.700,39.195245872,-77.257533406,165.0271
2025-09-17 17:03:19.800,39.195245475,-77.257533464,165.1604
2025-09-17 17:03:19.900,39.195245116,-77.257533403,165.2347
2025-09-17 17:03:20.000,39.195245662,-77.257534297,165.3128
2025-09-17 17:03:20.100,39.195245527,-77.257534514,165.4001
2025-09-17 17:03:20.300,39.195245471,-77.257535438,165.6135
2025-09-17 17:03:20.400,39.195246494,-77.257535414,165.6638
2025-09-17 17:03:20.500,39.195245888,-77.257536341,165.7389
