radar_id,ExtID,adsb_callsign,adsb_hex,adsb_fr24_id,adsb_type,average_rcs,mean_mahalanobis,n_pairs,min_mahalanobis,max_mahalanobis,status,chunk,experiment
51,5,RPA3668,A9B4A4,28a6941f,E75L,2.98,81.3852,25,73.3985,86.9644,REJECTED,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
215,11,N1377U,A09892,28a69510,C172,3.09,29.2638,153,12.6526,51.449,MATCH,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
49,7,RCH757,AE10B5,28a6903a,C17,0.74,107.2934,2,105.5159,109.0709,REJECTED,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
875,17,JIA5278,A71AA5,28a680bb,CRJ9,7.28,21.2662,44,1.9567,40.8544,MATCH,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
2133,47,ATN3494,A6452D,28a69820,B763,4.96,17.808,2,17.5059,18.11,MATCH,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
25884,90,UAL1988,A288FF,28a68628,B738,0.0,21.1785,20,20.6456,21.8528,MATCH,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
4079,59,FFT2315,A3D7DC,28a6742d,A20N,8.4,41.2611,24,33.4311,50.4512,REJECTED,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
29852,100,JIA5388,A668E2,28a697e4,CRJ7,0.0,92.1783,12,76.1366,114.5894,REJECTED,rt_2021-08-03_16-25-43_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
6315,73,DAL1547,A3D890,28a68111,A320,59.95,44.7891,58,14.5071,92.3786,REJECTED,rt_2021-08-03_16-45-27_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
7063,79,N16YS,A0F18C,28a6a5a5,RV10,2.61,26.4553,100,3.4093,43.1624,MATCH,rt_2021-08-03_16-45-27_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
7819,83,FDX3006,A03B91,28a66dfd,B763,2.74,76.2615,89,62.0024,96.3168,REJECTED,rt_2021-08-03_16-45-27_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
8349,85,RPA3511,A891FD,28a6a500,E170,109.59,28.597,74,10.1518,52.0965,MATCH,rt_2021-08-03_16-45-27_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
54964,168,AAY2248,A38991,28a6a38b,A319,0.01,23.1585,17,20.1399,42.1163,MATCH,rt_2021-08-03_16-45-27_tracks_chunk_0,2021_08_03_Butlers_Germantown_MD_US_MHR
